id,gender,occasion,weather,color,style
1,male,wedding,cool,bright,sherwani
2,male,sport,warm,neutral,track suit
3,female,sport,cool,neutral,t-shirt & shorts
4,male,sport,hot,light,track suit
5,female,formal,warm,bright,blazer & skirt
6,male,wedding,cool,light,formal suit
7,male,party,hot,neutral,jacket & pants
8,female,sport,warm,bright,track suit
9,male,sport,cool,light,track suit
10,male,casual,cold,light,t-shirt & jeans
11,male,formal,hot,dark,shirt & trousers
12,female,casual,warm,light,top & skirt
13,male,party,warm,dark,printed shirt & chinos
14,female,sport,cold,neutral,t-shirt & shorts
15,female,formal,hot,light,blazer & skirt
16,male,casual,warm,dark,t-shirt & jeans
17,male,wedding,cold,neutral,formal suit
18,male,party,cold,bright,printed shirt & chinos
19,female,sport,cool,light,t-shirt & shorts
20,female,party,cold,dark,party dress
21,male,wedding,cold,bright,sherwani
22,male,wedding,cold,bright,formal suit
23,male,formal,cool,dark,suit
24,male,casual,cool,dark,t-shirt & jeans
25,female,casual,hot,bright,kurti & leggings
26,female,party,cold,dark,party dress
27,male,sport,cold,bright,jersey & shorts
28,male,sport,cold,neutral,jersey & shorts
29,female,casual,warm,dark,top & skirt
30,female,sport,cold,light,track suit
31,male,party,warm,bright,jacket & pants
32,female,casual,hot,light,top & skirt
33,female,wedding,cool,dark,saree
34,male,wedding,warm,bright,kurta & churidar
35,female,wedding,hot,bright,lehenga
36,female,party,cold,dark,top & jeans
37,female,formal,warm,light,shirt & trousers
38,female,formal,cold,light,formal dress
39,male,sport,warm,dark,t-shirt & joggers
40,male,party,cool,neutral,shirt & jeans
41,female,party,hot,dark,party dress
42,female,casual,cool,neutral,t-shirt & jeans
43,male,formal,cool,light,suit
44,male,formal,hot,dark,shirt & trousers
45,female,casual,hot,neutral,top & skirt
46,female,party,warm,bright,top & jeans
47,female,formal,warm,neutral,shirt & trousers
48,male,wedding,warm,dark,kurta & churidar
49,female,formal,cool,light,formal dress
50,female,wedding,cold,light,saree
51,male,formal,hot,dark,blazer & pants
52,female,casual,cool,light,t-shirt & jeans
53,female,wedding,warm,bright,lehenga
54,male,sport,cold,light,t-shirt & joggers
55,female,sport,hot,dark,sports bra & leggings
56,female,formal,warm,light,formal dress
57,female,sport,cold,bright,t-shirt & shorts
